Ñâå Çä×Ñêâ,ÇÓå Çä×Ñêâ ÙÑÈê,ÇÊÌÇç Çä×Ñêâ ÙÑÈê,ÇÊÌÇç Çä×Ñêâ ÇæÌäêÒê,ÇäÊÕæêá ÇäçæÏÓê ää×Ñêâ ÙÑÈê,ÇäÊÕæêá ÇäçæÏÓê ää×Ñêâ ÇæÌäêÒê,åäãêÉ Çä×Ñêâ ÙÑÈê,åäãêÉ Çä×Ñêâ ÇæÌäêÒê,ÇäÊÕæêá ÇäèØêáê ää×Ñêâ ÙÑÈê,ÇäÊÕæêá ÇäèØêáê ää×Ñêâ ÇæÌäêÒê,ÍÇäÉ Çä×Ñêâ ÙÑÈê,ÍÇäÉ Çä×Ñêâ ÇæÌäêÒê,Çä×èä ÇäçæÏÓê Çä×Ñêâ,Çäåæ×âÉ
375,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.066743871,ÇäåÏêæÉ ÇäåæèÑÉ
395,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,3.106045672,ÇäÌèá
395,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.600222226,ÇäÌèá
395,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.406631707,ÇäÌèá
395,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.810720139,ÇäÌèá
395,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.648266192,ÇäÌèá
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.684099919,ÌÇÒÇæ
522,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.121466404,ÇäÑêÇÖ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.412295448,ÇäåÏêæÉ ÇäåæèÑÉ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.213815231,ÇäåÏêæÉ ÇäåæèÑÉ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.555096557,ÇäåÏêæÉ ÇäåæèÑÉ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.529091586,ÇäåÏêæÉ ÇäåæèÑÉ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.208054431,ÇäåÏêæÉ ÇäåæèÑÉ
303,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.398629095,ÇäåÏêæÉ ÇäåæèÑÉ
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.046476943,ÇäâÕêå
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.038812241,ÇäâÕêå
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.883368696,ÇäâÕêå
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.903340679,ÇäâÕêå
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.052978666,ÇäâÕêå
414,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.06067549,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.213760811,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.118010601,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.506143831,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.784234833,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.081942175,ÇäâÕêå
419,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.169680791,ÇäâÕêå
303,ÑÇÈÚ  -   êæÈÙ,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.399180159,ÇäåÏêæÉ ÇäåæèÑÉ
425,-999,ÑÆêÓê,Main,ÓÑêÙ,Highway,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.401188371,ÇäâÕêå
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,12.11164628,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.157374167,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,8.462931957,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,7.850467261,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,6.957219173,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.33472445,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.357664397,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.510316681,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.374218892,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,2.859183559,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,3.224845887,ÙÓêÑ
211,ÇäåÌÇÑÏÉ / ÇäåÎèÇÉ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,27.02332813,åãÉ ÇäåãÑåÉ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÊæáêĞ,Under Construction,0.84613967,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,2.084059314,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÊæáêĞ,Under Construction,4.737320851,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÊæáêĞ,Under Construction,1.582060879,ÙÓêÑ
211,ÇäåÌÇÑÏÉ / ÇäåÎèÇÉ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,2.783835169,åãÉ ÇäåãÑåÉ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.506573356,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,2.466667496,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.389584086,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÊæáêĞ,Under Construction,0.962052982,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.187638087,ÙÓêÑ
211,ÇäåÌÇÑÏÉ / ÇäåÎèÇÉ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.098094572,åãÉ ÇäåãÑåÉ
211,ÇäåÌÇÑÏÉ / ÇäåÎèÇÉ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,6.649476017,åãÉ ÇäåãÑåÉ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,15.39325479,ÇäÈÇÍÉ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,7.21767321,åãÉ ÇäåãÑåÉ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,16.87571753,åãÉ ÇäåãÑåÉ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.999056749,åãÉ ÇäåãÑåÉ
211,ÇäåÌÇÑÏÉ / ÇäåÎèÇÉ,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,3.602053969,åãÉ ÇäåãÑåÉ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.041425037,ÙÓêÑ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.040016277,ÙÓêÑ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.044933187,ÙÓêÑ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.04033308,ÙÓêÑ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.351776386,ÙÓêÑ
211,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.426291635,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.695932224,ÌÇÒÇæ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,10.62634818,ÌÇÒÇæ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.592804672,ÌÇÒÇæ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,14.94976893,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.317472197,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,21.57470726,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.671064836,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,14.44583157,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,3.076009856,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ ÇäÔÄèæ ÇäÈäÏêÉ Åäé èÒÇÑÉ Çäæâä,MOMRA TO MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,5.123700495,ÙÓêÑ
211,-999,ÑÆêÓê,Main,åáÑÏ,Single,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,2.155979412,åãÉ ÇäåãÑåÉ
177,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.91452895,æÌÑÇæ
177,-999,åÎÑÌ,Ramp,åÎÑÌ Çè ÏèÇÑ,Exit or Roundabout,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.335065195,ÇäÑêÇÖ
177,æÌÑÇæ / ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,41.24790887,æÌÑÇæ
177,æÌÑÇæ / ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,32.08236445,æÌÑÇæ
177,æÌÑÇæ / ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,60.83768476,æÌÑÇæ
177,æÌÑÇæ \ ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,24.78649826,æÌÑÇæ
177,æÌÑÇæ \ ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,6.502052795,æÌÑÇæ
177,æÌÑÇæ \ ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.326818665,æÌÑÇæ
177,æÌÑÇæ \ ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,21.97391233,æÌÑÇæ
177,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,0.076313745,æÌÑÇæ
177,æÌÑÇæ \ ÇäÓäêä,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,1.718282899,æÌÑÇæ
177,-999,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,49.31170064,ÇäÑêÇÖ
177,×Ñêâ æÌÑÇæ,ÑÆêÓê,Main,åÒÏèÌ,Double,èÒÇÑÉ Çäæâä,MOT,ËÇæèê,Arterial,ÊÍÊ ÇäÕêÇæÉ,Under Maintenance,49.19495444,ÇäÑêÇÖ
